code,name,nmc,mktcap,maxp5
605599,菜百股份,579050.9886,767666.6886,10.02
605598,上海港湾,175250.101643,575063.001643,34.73
605589,圣泉集团,1424215.337835,1812359.792,24.96
605588,冠石科技,74311.287737,235161.287737,32.5
605580,恒盛能源,63478.62,248400.0,12.93
605577,龙版传媒,203433.6006,480000.0006,12.0
605567,春雪食品,187977.42405,304200.0,15.5
605566,福莱蒽特,152730.107344,326949.68,25.06
605555,德昌股份,215178.91458,590457.84,22.35
605507,国邦医药,510622.86418,1598235.21,29.77
605500,森林包装,81631.62,317016.0,10.79
605499,东鹏饮料,1426023.61,7504587.61,188.0
605488,福莱新材,62683.5,254717.536425,14.96
605399,晨光新材,299742.023256,851216.379,35.87
605398,新炬网络,74737.583349,230650.755348,29.6
605389,长龄液压,87176.83884,348706.63884,25.89
605388,均瑶健康,221429.220876,675960.0,16.5
605378,野马电池,83616.72,334416.72,26.69
605377,华旺科技,368200.3369,726158.1804,23.41
605376,博迁新材,867182.838,1295966.4,51.99
605369,拱东医疗,310614.128,1238898.32,117.73
605368,蓝天燃气,239384.7,668056.059,13.81
605366,宏柏新材,356046.481817,738754.094,18.4
605365,立达信,98786.4375,868451.25,17.33
605358,立昂微,2463618.416599,3318587.504177,49.48
605339,南侨食品,155308.773202,980833.027892,23.98
605338,巴比食品,265002.0864,761856.0,32.39
605337,李子园,262620.655584,671138.496,22.8
605336,帅丰电器,96886.37985,305159.379525,16.93
605333,沪光股份,148040.62,1033412.207646,24.58
605319,无锡振华,97300.0,278000.0,13.96
605318,法狮龙,62125.447072,204865.447072,16.15
605305,中际联合,384448.68,549212.4,38.15
605303,园林股份,79134.316512,187680.342912,11.96
605300,佳禾食品,102657.867143,713217.83,18.39
605299,舒华体育,115254.45176,417671.485,10.42
605298,必得科技,60746.4,198806.4,14.44
605296,神农集团,179227.290408,1421913.847392,27.55
605289,罗曼股份,135685.41,290452.8375,29.83
605288,凯迪股份,66335.522176,264479.60644,38.14
605287,德才股份,155305.647048,247200.0,25.53
605286,同力日升,223440.0,828590.0,48.09
605277,新亚电子,133572.838504,323887.896528,17.3
605268,王力安防,75718.84,451365.93,10.18
605266,健之佳,512701.53172,869655.41441,98.88
605259,绿田机械,134589.0986,308792.0,35.88
605258,协和电子,87786.17,204424.0,23.56
605255,天普股份,57084.56,228338.24,17.47
605228,神通科技,81714.74017,357471.1,8.6
605222,起帆电缆,288798.403647,1127708.344647,27.88
605218,伟时电子,135386.357652,326486.52764,15.81
605208,永茂泰,199495.953,390598.2,15.48
605199,葫芦娃,188641.659792,808619.787792,21.78
605198,安德利,174443.00132,745089.1,22.83
605196,华通线缆,243874.936794,385115.899794,7.74
605189,富春染织,80371.2,241113.6,19.67
605188,国光连锁,52772.118252,433136.92,8.78
605186,健麾信息,241140.404582,492184.0,37.01
605183,确成股份,257121.41376,791500.1784,19.18
605180,华生科技,62378.875,216970.0,17.58
605179,一鸣食品,71736.0,471576.0,12.83
605178,时空科技,124414.354044,198900.2064,20.3
605177,东亚药业,126104.622864,254918.4,23.15
605169,洪通燃气,84298.24,337192.96,12.9
605168,三人行,359122.402905,822920.150235,88.0
605167,利柏特,190695.63781,384852.99,8.94
605166,聚合顺,243141.340464,408954.027312,13.19
605162,新中港,93619.84385,369616.273,9.59
605158,华达新材,102173.604,362085.36,7.15
605155,西大门,67023.747,192326.4,14.4
605151,西上海,142942.61933,303749.94,22.65
605138,盛泰集团,361245.6225,675005.4,12.51
605136,丽人丽妆,239832.074573,489760.7455,12.34
605133,嵘泰股份,110520.0,448128.207,28.35
605128,上海沿浦,242460.23,465040.0,59.3
605123,派克新材,542083.1,1584672.925576,139.48
605122,四方新材,95110.554,279385.834,16.44
605118,力鼎光电,57229.1384,558857.446,13.84
605117,德业股份,2806765.99,8255162.79,377.38
605116,奥锐特,202298.4192,1062606.12,27.45
605111,新洁能,1255744.70896,1882868.833251,91.6
605108,同庆楼,268889.427636,856180.0,35.1
605100,华丰股份,117399.296,259656.096,15.94
605099,共创草坪,95013.3,952201.536,24.3
605098,行动教育,130636.928856,350929.5992,31.12
605090,九丰能源,603797.949636,1441246.755088,24.9
605089,味知香,168672.5,636500.0,66.68
605088,冠盛股份,142759.808,307715.52,19.54
605086,龙高股份,107061.136,267904.0,22.68
605081,太和水,145537.2342,192973.010688,17.14
605080,浙江自然,153928.8408,462943.8408,46.94
605077,华康股份,442105.89017,663669.328,30.21
605069,正和生态,86433.632506,217413.618006,10.42
605068,明新旭腾,174984.656174,515964.356174,33.3
605066,天正电气,185120.0765,325211.0,8.16
605060,联德股份,218851.2,647048.592,27.85
605058,澳弘电子,87994.0975,292994.0975,20.58
605056,咸亨国际,210019.9248,551900.16,13.74
605055,迎丰股份,62930.526048,279840.0,6.55
605050,福然德,217251.0,623790.0,14.38
605033,美邦股份,63544.0,259050.84,18.96
605028,世茂能源,72040.0,288160.0,18.19
605020,永和股份,500104.5125,1099202.642643,42.3
605018,长华集团,106013.524302,534687.070302,11.55
605016,百龙创园,207084.262,412023.92,23.71
605011,杭州热电,200299.4,661765.4,18.19
605009,豪悦护理,260448.649482,782654.276858,52.15
605008,长鸿高科,367028.58888,1162066.168926,18.79
605007,五洲特纸,142321.420224,691219.82016,18.5
605006,山东玻纤,259460.73792,549004.832115,9.24
605005,合兴股份,84643.552201,667229.3615,16.8
605003,众望布艺,57612.5,230450.0,21.68
605001,威奥股份,222584.96031,365383.98,10.5
603999,读者传媒,312768.0,312768.0,5.6
603998,方盛制药,377898.1536,386849.8656,9.63
603997,继峰股份,1134493.63552,1438420.907672,13.63
603995,甬金股份,506113.555948,1045887.356696,31.64
603992,松霖科技,664473.334706,664473.334706,16.95
603991,至正股份,272574.487686,272574.487686,36.64
603990,麦迪科技,431804.306816,431804.306816,21.45
603989,艾华集团,1092625.173828,1092625.173828,28.27
603988,中电电机,237552.0,237552.0,10.25
