code,name,nmc,mktcap
688819,天能股份,502449.32529,4598033.0
688779,长远锂科,985329.512685,5469299.78112
688777,中控技术,478134.257853,5398855.868
688728,格科微,553504.248234,8398759.788453
688599,天合光能,7189338.855948,12234444.0345
688561,奇安信,4146356.92156,6164117.12
688536,思瑞浦,1133945.33274,4783680.0
688396,华润微,2429970.843267,9746238.209763
688363,华熙生物,1619389.594644,8327520.0
688303,大全能源,1626934.43594,15775375.0
688188,柏楚电子,1295859.43827,4836559.78827
688185,康希诺,2465603.305007,9131148.722999
688180,君实生物,2519203.43607,5364356.963
688169,石头科技,4039147.709,5966666.6965
688126,沪硅产业,3262379.786364,7356451.16
688111,金山办公,5179666.824,11064000.0
688065,凯赛生物,2374786.162,5833547.664
688036,传音控股,5951711.617998,12207348.09565
688012,中微公司,3841733.33514,9522209.70496
688009,中国通号,1084926.267888,5697322.622
688008,澜起科技,2557342.45032,6808802.65282
688005,容百科技,2835054.0737,4598653.793857
688002,睿创微纳,2570843.08411,4949735.0
605499,东鹏饮料,695773.9,6956173.9
605358,立昂微,474096.14,4679976.14
603993,洛阳钼业,12560364.306513,15357060.054513
603986,兆易创新,9097500.262338,9823227.487209
603899,晨光文具,6110162.78826,6148170.02493
603893,瑞芯微,2491752.0,5524359.978
603882,金域医学,4826916.996385,4859731.443875
603833,欧派家居,9224997.100512,9224997.100512
603806,福斯特,13505673.2216,13505673.2216
603799,华友钴业,14163488.331148,14268451.642534
603737,三棵树,4890649.2148,5044262.3124
603659,璞泰来,9571917.299875,9600628.99075
603501,韦尔股份,18261711.45375,20194502.763
603486,科沃斯,8455313.3,8638533.391
603392,万泰生物,2941029.176775,11837887.04
603369,今世缘,5428221.5,5428221.5
603290,斯达半导,2501207.195296,5068480.0
603195,公牛集团,1301395.854996,10349285.7462
603185,上机数控,3217729.26558,8662235.00898
603160,汇顶科技,4745509.6624,4758755.0296
603127,昭衍新药,4291827.73019,5118081.12444
603026,石大胜华,5362912.8,5362912.8
601985,中国核电,9660690.525824,9915018.883448
601901,方正证券,7096071.40249,7096071.40249
601898,中煤能源,7458880.326,10805810.671
601881,中国银河,7155364.27764,11252357.22027
601878,浙商证券,4788608.98105,5138573.653375
601877,正泰电器,12194649.981272,12194649.981272
601865,福莱特,2919808.579142,11749946.779142
601825,沪农商行,770591.111555,7705911.111555
601808,中海油服,4177220.348,6732716.312
601800,中国交建,10173105.87805,13999506.09405
601799,星宇股份,5295068.031165,5295068.031165
601788,光大证券,6555440.651842,7736901.658242
601766,中国中车,16323952.490208,19256937.803048
601698,中国卫通,670563.76646,6580000.0
601688,华泰证券,12693833.93152,15757064.4
601669,中国电建,7711925.86568,10586932.236608
601668,中国建筑,20606803.501908,21267721.096908
601636,旗滨集团,7258158.17188,7258158.17188
601615,明阳智能,3570380.332155,4711251.33948
601607,上海医药,3784336.115424,5593231.785696
601600,中国铝业,9926738.600097,12920208.769809
601390,中国中铁,12421758.96263,14988266.86263
601377,兴业证券,7051595.272722,7051595.272722
601360,三六零,8703052.373946,8703052.373946
601336,新华保险,8913167.73916,13332942.1684
601238,广汽集团,13773116.986475,19934506.13385
601236,红塔证券,3261835.642875,6013904.37105
601233,桐昆股份,5627326.35102,5627326.35102
601229,上海银行,10154556.578712,10527037.7667
601225,陕西煤业,13553610.0,13553610.0
601216,君正集团,4843421.98186,4843421.98186
601211,国泰君安,13432345.951458,16088659.838538
601186,中国铁建,9639719.729,11379655.777
601155,新城控股,8196961.261896,8219534.277096
601127,小康股份,7543881.073944,10515256.278639
601117,中国化学,6842071.0,6842071.0
601111,中国国航,7531371.656676,10980760.27986
601100,恒立液压,12066747.84,12066747.84
601021,春秋航空,5262328.898046,5262328.898046
601009,南京银行,8024168.696104,9466638.056458
601006,大秦铁路,9172861.49246,9172861.49246
600999,招商证券,14116654.027344,16540793.985012
600989,宝丰能源,3238694.48,11909376.64
600958,东方证券,9000687.434907,10973045.954907
600956,新天绿能,201451.25,5755616.04202
600926,杭州银行,7224269.262611,8497977.219056
600919,江苏银行,9497872.092757,9555947.998708
600918,中泰证券,2781268.114716,7428555.055896
600905,三峡能源,4517147.06235,18571150.0
600893,航发动力,12427481.202975,15713678.03301
600887,伊利股份,21443737.306592,21993154.320928
600886,国投电力,6938009.853612,6938009.853612
600884,杉杉股份,4864280.48568,4864280.48568
600875,东方电气,3294885.6072,5146599.3645
600862,中航高科,4655570.115594,4655570.115594
600845,宝信软件,8058726.26946,11225860.595856
600837,海通证券,11205617.710655,17257808.2
600808,马钢股份,3634360.472274,4689714.842274
600803,新奥股份,2799488.444319,5557952.117907
600801,华新水泥,3028820.79752,4662838.07752
600779,水井坊,5991483.92046,5992294.35396
600763,通策医疗,7016565.12,7016565.12
600760,中航沈飞,14666218.721148,14688403.132508
600745,闻泰科技,10486139.37161,13957336.28502
600741,华域汽车,7194516.131488,7194516.131488
600733,北汽蓝谷,2755235.934231,5329126.49159
600703,三安光电,13471037.537184,14795264.340324
600702,舍得酒业,6196074.7428,6249520.02
600674,川投能源,5216778.918784,5216778.918784
600663,陆家嘴,3452684.11488,4748250.38688
600660,福耀玻璃,9251793.867508,12054405.374308
600600,青岛啤酒,5995991.724072,11756332.06572
600588,用友网络,10637540.356352,10701178.9044
600584,长电科技,5340778.01726,5929470.596
600547,山东黄金,6493003.949736,8213216.6079
600516,方大炭素,4620448.026752,4620448.026752
600460,士兰微,6993288.40262,7432213.90262
600436,片仔癀,19834053.27875,19834053.27875
600426,华鲁恒升,7396864.790679,7416104.466225
600406,国电南瑞,19732341.84856,19853937.3111
600399,抚顺特钢,4871087.0,4871087.0
600383,金地集团,5209829.442088,5209829.442088
600362,江西铜业,5457900.67515,9106978.33515
600346,恒力石化,19216742.41578,19216742.41578
600332,白云山,4303432.194889,4976546.094889
600295,鄂尔多斯,2301510.48458,5036369.312363
600256,广汇能源,4646774.55264,4646774.55264
600219,南山铝业,6070844.61216,6070844.61216
600196,复星医药,12588597.3617,16043744.8917
600188,兖州煤业,7703136.7154,12624136.7154
600183,生益科技,5281876.152018,5281876.152018
600176,中国巨石,7846147.98688,7846147.98688
600150,中国船舶,6088722.947888,11145292.464936
600132,重庆啤酒,6417458.08548,6417458.08548
600111,北方稀土,18684858.438,18684858.438
600089,特变电工,10537505.382393,10537505.382393
600085,同仁堂,4638312.426084,4638312.426084
600068,葛洲坝,4572543.970116,4572543.970116
600061,国投资本,6078313.805344,6078313.805344
600048,保利地产,14699292.111924,14699292.111924
600029,南方航空,5848109.377043,10185996.337407
600025,华能水电,10782000.0,10782000.0
600018,上港集团,13510252.32095,13571470.29425
600015,华夏银行,7334576.765516,8801492.118276
600009,上海机场,4942513.31444,8709852.18496
300979,华利集团,677650.74741,10047870.0
300957,贝泰妮,1067728.508028,8416508.4
300919,中伟股份,724116.96,8202960.0
300896,爱美客,2545471.31485,11153358.0
300866,安克创新,427676.26161,4554423.281642
300782,卓胜微,7215925.66236,11994845.61284
300763,锦浪科技,2415337.869379,5570307.954754
300759,康龙化成,5254072.042072,14658037.448824
300751,迈为股份,3447683.469915,6774297.527025
300724,捷佳伟创,3772493.11182,5721407.531475
300661,圣邦股份,6618944.27844,7145220.19536
300628,亿联网络,4079005.533427,7638354.68286
300601,康泰生物,6190441.795825,7958392.454285
300595,欧普康视,3718225.971957,5161734.08373
300498,温氏股份,6447026.90406,8479642.41612
300496,中科创达,3719467.361808,4940396.314293
300454,深信服,6631533.0372,10305469.5222
300450,先导智能,9866483.134432,10644804.003648
300433,蓝思科技,12152939.5603,12185025.9951
300413,芒果超媒,4153850.67684,8343414.8349
300408,三环集团,6358910.179952,6599002.417664
300390,天华超净,4098838.69129,6140646.46783
300347,泰格医药,7382220.90134,11433679.43217
300316,晶盛机电,9056887.725,9641725.455
300274,阳光电源,15321154.972536,20374767.7371
300223,北京君正,4521082.19398,6541296.677564
300207,欣旺达,5166071.8836,5757638.49762
300142,沃森生物,10938010.81012,11307870.02448
300124,汇川技术,14328173.0097,18091961.8119
300033,同花顺,3240291.172615,6405504.0
300014,亿纬锂能,16526634.095965,17065632.83677
300003,乐普医疗,4139474.43251,4854323.20473
003022,联泓新科,1096152.096,7642120.096
002938,鹏鼎控股,1674647.688398,7516938.692208
002920,德赛西威,4565404.55,4566650.0
002841,视源股份,3692716.31264,5455709.34361
002821,凯莱英,7571151.198,7882941.25557
002791,坚朗五金,2348011.390377,4695448.62
002736,国信证券,10927972.881272,11900187.568726
002709,天赐材料,8327627.08288,12017065.46766
002648,卫星石化,6790174.33644,6811387.89804
002625,光启技术,3231088.395067,4677610.248402
002607,中公教育,1831440.465845,6876650.318735
002602,世纪华通,3223443.895214,4933592.712816
002601,龙佰集团,5130276.718203,8008982.751952
002600,领益智造,4739699.824002,4959631.574586
002568,百润股份,3648144.562088,5341469.209128
002532,天山铝业,1290401.152117,4963561.737805
002493,荣盛石化,18759105.46875,19997911.875
002466,天齐锂业,16672672.187181,16710425.319879
002459,晶澳科技,4658777.9918,11668154.947
002414,高德红外,4720786.91959,6333360.857098
002410,广联达,6127622.60892,7338252.93024
002371,北方华创,15115413.1121,16335588.605
002340,格林美,5956889.146956,5984186.343507
002326,永太科技,3525283.97902,4584441.72285
002311,海大集团,10733204.19815,10756017.869975
002271,东方雨虹,8536614.921776,12375545.164448
002252,上海莱士,3515401.747193,4765737.050249
002241,歌尔股份,13933423.11348,15988382.44848
002240,盛新锂能,4373253.31876,5427835.1174
002236,大华股份,4215459.725204,6464460.75522
002230,科大讯飞,10297625.374101,11394502.033785
002192,融捷股份,4538231.673192,4547601.225342
002179,中航光电,9311774.807921,9590420.917107
002142,宁波银行,20559196.815792,20835800.479848
002129,中环股份,14950237.40028,14958393.705144
002120,韵达股份,4970911.608335,5134993.103532
002080,中材科技,5526060.962112,5526060.962112
002074,国轩高科,6137682.845448,6669075.698712
002064,华峰化学,2708759.343906,6422057.640306
