code,name,nmc,mktcap
605599,菜百股份,102511.1404,1025111.1404
605598,上海港湾,77186.725529,308692.575529
605589,XD圣泉集,269443.44,2575358.0832
605588,冠石科技,74909.225,299635.100539
605580,恒盛能源,83750.0,335000.0
605577,龙版传媒,60311.111865,603111.111865
605507,国邦医药,248117.56,1654117.56
605500,森林包装,92000.0,368000.0
605499,东鹏饮料,810682.62,8105002.62
605488,福莱新材,78180.0,312720.0
605399,晨光新材,245994.2352,695520.0
605398,新炬网络,57088.530576,228354.122304
605389,长龄液压,120717.9974,482870.9974
605388,均瑶健康,242980.538175,741750.0
605378,野马电池,92018.4,368018.4
605377,华旺科技,120301.79868,483978.74268
605376,博迁新材,487230.0,1948920.0
605369,拱东医疗,289996.0,1166277.12034
605368,蓝天燃气,105062.0,742174.008
605366,宏柏新材,216128.90168,443552.0
605365,立达信,96500.0,965000.0
605358,立昂微,3350680.9728,4746873.0
605339,南侨食品,204691.765464,1364611.765464
605338,巴比食品,214520.0,858080.0
605337,李子园,215907.3,863629.2
605336,帅丰电器,100249.6,404487.2
605333,沪光股份,80339.88,514884.0
605319,无锡振华,73550.0,294200.0
605318,法狮龙,44951.560896,179806.243584
605305,中际联合,219450.0,877800.0
605303,园林股份,63084.13588,252336.54352
605300,佳禾食品,72778.19,727618.19
605299,舒华体育,99300.0,817237.014
605298,必得科技,57186.0,228744.0
605296,神农集团,154435.74,1544083.528296
605289,罗曼股份,54348.36,217368.36
605288,凯迪股份,96652.5,390417.33528
605287,德才股份,73800.0,295200.0
605286,同力日升,76062.0,304248.0
605277,新亚电子,90505.68,370119.3972
605268,王力安防,79998.0,520584.0
605266,健之佳,124106.125,500933.5331
605259,绿田机械,67320.0,269280.0
605258,协和电子,67430.0,269720.0
605255,天普股份,52693.44,210773.76
605228,神通科技,72240.0,379260.0
605222,起帆电缆,221900.0,927979.143
605218,伟时电子,70713.917085,282855.66834
605208,永茂泰,104152.0,416608.0
605199,葫芦娃,174500.245968,843829.357968
605198,德利股份,143038.23632,627348.4
605196,华通线缆,78736.0,525067.693528
605189,富春染织,70137.6,280550.4
605188,国光连锁,46854.878448,384570.08
605186,健麾信息,121346.0,485384.0
605183,确成股份,84091.36725,720756.7154
605180,华生科技,99000.0,396000.0
605179,一鸣食品,91500.0,601500.0
605178,时空科技,136463.261348,431347.4536
605177,东亚药业,81735.2,326940.8
605169,洪通燃气,114400.0,457600.0
605168,三人行,370436.82942,851114.327
605167,利柏特,107441.320074,429759.99
605166,聚合顺,216496.299248,364141.238
605162,新中港,98671.1264,493355.632
605158,华达新材,121944.485,432149.9
605155,西大门,48312.0,193248.0
605151,西上海,56844.7,227344.7
605136,丽人丽妆,95543.88,959092.44
605133,嵘泰股份,71960.0,287840.0
605128,上海沿浦,149697.19,287120.0
605123,派克新材,366998.3,956232.0
605122,四方新材,97810.86,389692.394
605118,力鼎光电,55555.0,552201.1175
605117,德业股份,941660.69,3766620.69
605116,奥锐特,104474.4512,541751.0
605111,新洁能,428759.1,1715036.4
605108,同庆楼,149428.37916,475800.0
605100,华丰股份,153773.76,340106.76
605099,共创草坪,127967.28,1283988.384
605098,行动教育,89147.43,356513.029539
605090,九丰能源,271643.341284,1450283.341284
605089,味知香,178750.0,715000.0
605088,冠盛股份,100560.8,223680.38
605086,龙高股份,77824.0,311296.0
605081,太和水,70913.43,283586.288699
605080,浙江自然,152089.8944,608359.5776
605077,华康股份,174606.88,698427.52
605069,正和生态,78898.133118,315592.532472
605068,明新旭腾,117694.0,470776.0
605066,天正电气,315685.6545,558891.7365
605060,联德股份,94620.0,378480.0
605058,澳弘电子,81752.528,327009.9976
605056,咸亨国际,75618.9,756018.9
605055,迎丰股份,63440.0,348920.0
605050,福然德,166195.5,477195.0
605033,美邦股份,64896.0,259584.0
605028,世茂能源,104160.0,416640.0
605020,永和股份,254479.39,1017879.39
605018,长华股份,60561.04,605436.04
605016,百龙创园,112158.6,447223.6
605011,杭州热电,97042.0,968242.0
605009,豪悦护理,290716.8651,822505.7025
605008,长鸿高科,301697.90584,955219.675618
605007,五洲特纸,75258.81,752418.81
605006,山东玻纤,366026.591811,774500.0
605005,合兴股份,70656.2,706562.0
605003,众望布艺,63937.5,255750.0
605001,威奥股份,199369.109611,327274.038
603999,读者传媒,290304.0,290304.0
603998,方盛制药,242198.36208,242198.36208
